User,Min before,Max before,Segmentation Mean before,Start segmentation before,Start segmentation seconds before,seconds before,Min after,Max after,Segmentation Mean after,Start segmentation after,Start segmentation seconds after,seconds after
Brine,25.455,59.002,51.552,54,5.4,51,0.041,0.042,0.041,4190,419.0,600
Chirp,-2.901,3.044,0.034,406,40.6,257,-4.525,3.556,-0.219,1681,168.1,600
Drift,-2.806,2.865,0.139,1470,147.0,600,-3.616,3.942,0.154,1712,171.2,305
Fable,0.018,0.097,0.09,5413,541.3,600,-0.049,0.041,-0.041,3782,378.2,392
Flair,-1.629,4.133,1.11,1737,173.7,215,-3.376,2.029,-0.317,1813,181.3,203
Froze,-1.661,2.148,0.249,1829,182.9,600,-0.053,0.022,-0.009,1350,135.0,331
Glide,-2.649,0.729,-0.731,1038,103.8,371,-3.366,2.391,-0.336,2152,215.2,253
Glint,-0.286,0.36,0.033,1186,118.6,589,-1.677,2.509,0.127,1174,117.4,194
Grasp,-0.215,0.209,0.042,4033,403.3,444,-0.27,0.37,-0.023,382,38.2,71
Grimm,-1.963,2.185,0.571,4511,451.1,600,-3.094,3.221,-0.0,1879,187.9,201
Jolly,-4.518,3.954,-0.56,3126,312.6,492,-0.759,3.253,0.848,2386,238.6,513
Knack,-0.945,1.924,0.635,2424,242.4,482,-3.662,4.052,0.153,2421,242.1,268
Mirth,-1.778,4.207,1.06,2722,272.2,600,-0.781,0.445,0.022,2178,217.8,269
Nifty,-4.369,4.486,-0.058,2477,247.7,269,-4.115,1.579,-0.851,386,38.6,59
Quell,-0.078,0.208,0.044,642,64.2,250,-0.019,-0.003,-0.008,608,60.8,150
Swirl,-0.003,0.003,-0.0,1028,102.8,597,-0.326,0.369,0.023,2400,240.0,600
Swoop,-1.918,2.578,0.384,2743,274.3,600,-1.974,3.325,0.159,2331,233.1,250
Thyme,-0.107,0.125,-0.008,4787,478.7,580,-0.04,0.2,0.136,1762,176.2,245
Twine,-1.638,2.315,0.335,2338,233.8,382,-1.649,2.796,0.743,665,66.5,72
Vibez,-1.671,2.278,0.113,2705,270.5,600,-0.16,0.142,-0.006,1372,137.2,173
Witty,-0.114,0.405,0.373,4756,475.6,534,-0.048,0.047,0.009,2083,208.3,225
